frequency,word,definitions
1,CONGLOMERATES,"['a composite rock made up of particles of varying size', 'a group of diverse companies under common ownership and run as a single organization']"
1,CONGLOMERATES,['collect or gather']
1,CONNECT,"['connect, fasten, or put together two or more pieces', 'make a logical or causal connection', 'be or become joined or united or linked', 'join by means of communication equipment', 'land on or hit solidly', 'join for the purpose of communication', 'be scheduled so as to provide continuing service, as in transportation', 'establish a rapport or relationship', 'establish communication with someone', 'plug into an outlet', 'hit or play a ball successfully']"
1,CONNECTED,"['being joined in close association', 'joined or linked together', 'wired together to an alarm system', 'plugged in', 'stored in, controlled by, or in direct communication with a central computer']"
1,CONNECTED,"['connect, fasten, or put together two or more pieces', 'make a logical or causal connection', 'be or become joined or united or linked', 'join by means of communication equipment', 'land on or hit solidly', 'join for the purpose of communication', 'be scheduled so as to provide continuing service, as in transportation', 'establish a rapport or relationship', 'establish communication with someone', 'plug into an outlet', 'hit or play a ball successfully']"
1,CONSCIOUS,"['intentionally conceived', 'knowing and perceiving; having awareness of surroundings and sensations and thoughts', ""(followed by `of'""]"
1,CONSEQUENCES,"['a phenomenon that follows and is caused by some previous phenomenon', 'the outcome of an event especially as relative to an individual', 'having important effects or influence']"
1,CONSIDER,"['deem to be', 'give careful consideration to', 'take into consideration for exemplifying purposes', 'show consideration for; take into account', 'think about carefully; weigh', 'judge or regard; look upon; judge', 'look at attentively', 'look at carefully; study mentally', 'regard or treat with consideration, respect, and esteem']"
1,CONSIDERABLE,['large or relatively large in number or amount or extent or degree']
1,CONSIDERED,['carefully weighed']
1,CONSIDERED,"['deem to be', 'give careful consideration to', 'take into consideration for exemplifying purposes', 'show consideration for; take into account', 'think about carefully; weigh', 'judge or regard; look upon; judge', 'look at attentively', 'look at carefully; study mentally', 'regard or treat with consideration, respect, and esteem']"
1,CONSTANTLY,"['without variation or change, in every case', 'without interruption']"
1,CONSUME,"['eat up completely, as with great appetite', 'serve oneself to, or consume regularly', 'spend extravagantly', 'destroy completely', 'use up (resources or materials', 'engage fully']"
1,CONSUMERS,['a person who uses goods or services']
1,CONTACT,"['close interaction', 'the act of touching physically', 'the state or condition of touching or of being in immediate proximity', 'the physical coming together of two or more things', 'a person who is in a position to give you special assistance', 'a channel for communication between groups', '(electronics', 'as two electrical conductors', 'a communicative interaction', 'a thin curved glass or plastic lens designed to fit over the cornea in order to correct vision or to deliver medication']"
1,CONTACT,"['be in or establish communication with', 'be in direct physical contact with; make contact']"
1,CONTENT,"['(usually plural', 'what a communication that is about something is about', 'the proportion of a substance that is contained in a mixture or alloy etc.', 'the amount that can be contained', 'the sum or range of what has been perceived, discovered, or learned', 'the state of being contented with your situation in life', 'something (a person or object or scene']"
1,CONTENT,['satisfied or showing satisfaction with things as they are']
1,CONTENT,"['satisfy in a limited way', 'make content']"
1,CONTEXT,"['discourse that surrounds a language unit and helps to determine its interpretation', 'the set of facts or circumstances that surround a situation or event']"
1,CONTINUE,"['continue a certain state, condition, or activity', 'continue talking', 'keep or maintain in unaltered condition; cause to remain or last', 'move ahead; travel onward in time or space', 'allow to remain in a place or position or maintain a property or feature', 'do something repeatedly and showing no intention to stop', 'continue after an interruption', 'continue in a place, position, or situation', 'span an interval of distance, space or time', 'exist over a prolonged period of time']"
1,CONTINUOUS,"['continuing in time or space without interruption', 'of a function or curve; extending without break or irregularity']"
1,CONTRARY,"['a relation of direct opposition', 'exact opposition', 'a logical relation such that two propositions are contraries if both cannot be true but both can be false']"
1,CONTRARY,"['very opposed in nature or character or purpose', 'of words or propositions so related that both cannot be true but both may be false', 'resistant to guidance or discipline', 'in an opposing direction']"
1,CONTRAST,"['the opposition or dissimilarity of things that are compared', 'the act of distinguishing by comparing differences', 'a conceptual separation or distinction', 'the perceptual effect of the juxtaposition of very different colors', 'the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness']"
1,CONTRAST,"['put in opposition to show or emphasize differences', 'to show differences when compared; be different']"
1,CONTRIBUTE,"['bestow a quality on', 'contribute to some cause', 'be conducive to', 'provide']"
1,CONTRIBUTED,"['bestow a quality on', 'contribute to some cause', 'be conducive to', 'provide']"
1,CONTROLLED,['restrained or managed or kept within certain bounds']
1,CONTROLLED,"['exercise authoritative control or power over', 'lessen the intensity of; temper; hold in restraint; hold or keep within limits', 'handle and cause to function', 'maintain influence over (others or oneself', 'check or regulate (a scientific experiment', 'place under restrictions; limit access to by law', 'verify by using a duplicate register for comparison', 'be careful or certain to do something; make certain of something', 'have a firm understanding or knowledge of; be on top of']"
1,CONTROVERSIES,['a contentious speech act; a dispute where there is strong disagreement']
1,COPED,"['succeed in doing, achieving, or producing (something']"
1,CORPORATIONS,"['a business firm whose articles of incorporation have been approved in some state', 'slang for a paunch']"
1,CORRODE,"['cause to deteriorate due to the action of water, air, or an acid', 'become destroyed by water, air, or a corrosive such as an acid']"
1,COUNTRIES,"['a politically organized body of people under a single government', 'the territory occupied by a nation', 'the people who live in a nation or country', 'an area outside of cities and towns', 'a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography']"
1,COUNTRY,"['a politically organized body of people under a single government', 'the territory occupied by a nation', 'the people who live in a nation or country', 'an area outside of cities and towns', 'a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography']"
1,COUPLES,"['a pair who associate with one another', 'a pair of people who live together', 'a small indefinite number', 'two items of the same kind', '(physics']"
1,COUPLES,"['bring two objects, ideas, or people together', 'link together', 'form a pair or pairs', 'engage in sexual intercourse']"
1,COVERAGE,"['the total amount and type of insurance carried', 'the extent to which something is covered', 'the news as presented by reporters for newspapers or radio or television']"
1,CREATED,"['make or cause to be or to become', 'bring into existence', 'pursue a creative activity; be engaged in a creative activity', 'invest with a new title, office, or rank', 'create by artistic means', 'create or manufacture a man-made product']"
1,CREATIVITY,['the ability to create']
1,CREDIBLE,"['capable of being believed', ""(a common but incorrect usage where `credulous' would be appropriate"", 'appearing to merit belief or acceptance']"
1,CRITICAL,"['marked by a tendency to find and call attention to errors and flaws', 'at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction', 'characterized by careful evaluation and judgment', 'urgently needed; absolutely necessary', 'forming or having the nature of a turning point or crisis', 'being in or verging on a state of crisis or emergency', 'of or involving or characteristic of critics or criticism']"
1,CRUCIAL,"['of extreme importance; vital to the resolution of a crisis', 'having crucial relevance', 'of the greatest importance']"
1,CULINARY,['of or relating to or used in cooking']
1,CULTURAL,"['of or relating to the arts and manners that a group favors', 'denoting or deriving from or distinctive of the ways of living built up by a group of people', 'of or relating to the shared knowledge and values of a society', 'relating to the raising of plants or animals']"
1,CULTURE,"['a particular society at a particular time and place', 'the tastes in art and manners that are favored by a social group', 'all the knowledge and values shared by a society', '(biology', 'such as gelatin or agar', 'a highly developed state of perfection; having a flawless or impeccable quality', 'the attitudes and behavior that are characteristic of a particular social group or organization', 'the raising of plants or animals']"
1,CULTURE,['grow in a special preparation']
1,CURRICULUM,['an integrated course of academic studies']
1,CUSTOMER,['someone who pays for goods or services']
1,CUSTOMERS,['someone who pays for goods or services']
1,DANGERS,"['the condition of being susceptible to harm or injury', 'a venture undertaken without regard to possible loss or injury', 'a cause of pain or injury or loss', 'a dangerous place']"
1,DECISIONS,"['the act of making up your mind about something', 'a position or opinion or judgment reached after consideration', '(boxing', 'the outcome of a game or contest', 'the trait of resoluteness as evidenced by firmness of character or purpose']"
1,DEFINED,"['clearly characterized or delimited', 'showing clearly the outline or profile or boundary']"
1,DEFINED,"['determine the essential quality of', 'give a definition for the meaning of a word', 'determine the nature of', 'show the form or outline of', 'decide upon or fix definitely']"
1,DEFUSE,['remove the triggering device from']
1,DEFUSING,['the act of deactivating or making ineffective (as a bomb']
1,DEFUSING,['remove the triggering device from']
1,DEMAND,"['an urgent or peremptory request', 'the ability and desire to purchase goods and services', 'required activity', 'the act of demanding', 'a condition requiring relief']"
1,DEMAND,"['request urgently and forcefully', 'require as useful, just, or proper', 'claim as due or just', 'lay legal claim to', 'summon to court', 'ask to be informed of']"
1,DEPENDENT,['a person who relies on another person for support (especially financial support']
1,DEPENDENT,"['relying on or requiring a person or thing for support, supply, or what is needed', 'contingent on something else', '(of a clause', 'or dependent', 'held from above and hanging down', 'being under the power or sovereignty of another or others', 'addicted to a drug']"
1,DEPENDING,"['be contingent upon (something that is elided', 'have faith or confidence in']"
1,DEPENDS,"['be contingent upon (something that is elided', 'have faith or confidence in']"
1,DESIGNING,['the act of working out the form of something (as by making a sketch or outline or plan']
1,DESIGNING,['concealing crafty designs for advancing your own interest']
1,DESIGNING,"['make or work out a plan for; devise', 'plan something for a specific role or purpose or effect', 'create the design for; create or execute in an artistic or highly skilled manner', 'make a design of; plan out in systematic, often graphic form', 'create designs', 'conceive or fashion in the mind; invent', 'intend or have as a purpose']"
1,DESIRE,"['the feeling that accompanies an unsatisfied state', 'an inclination to want things', 'something that is desired']"
1,DESIRE,"['feel or have a desire for; want strongly', 'expect and wish', 'express a desire for']"
1,DESIRES,"['the feeling that accompanies an unsatisfied state', 'an inclination to want things', 'something that is desired']"
1,DESIRES,"['feel or have a desire for; want strongly', 'expect and wish', 'express a desire for']"
1,DESTROY,"['do away with, cause the destruction or undoing of', 'destroy completely; damage irreparably', 'defeat soundly and humiliatingly', 'put (an animal']"
1,DEVELOP,"['make something new, such as a product or a mental or artistic creation', 'work out', 'gain through experience', 'come to have or undergo a change of (physical features and attributes', 'come into existence; take on form or shape', 'change the use of and make available or usable', 'elaborate, as of theories and hypotheses', 'create by training and teaching', 'be gradually disclosed or unfolded; become manifest', 'grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment', 'become technologically advanced', 'cause to grow and differentiate in ways conforming to its natural development', 'generate gradually', 'grow emotionally or mature', 'make visible by means of chemical solutions', 'superimpose a three-dimensional surface on a plane without stretching, in geometry', ""move one's pieces into strategically more advantageous positions"", 'move into a strategically more advantageous position', 'elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme', 'happen', 'expand in the form of a series']"
1,DEVELOPED,"['being changed over time so as to be e.g. stronger or more complete or more useful', '(used of societies', '(of real estate']"
1,DEVELOPED,"['make something new, such as a product or a mental or artistic creation', 'work out', 'gain through experience', 'come to have or undergo a change of (physical features and attributes', 'come into existence; take on form or shape', 'change the use of and make available or usable', 'elaborate, as of theories and hypotheses', 'create by training and teaching', 'be gradually disclosed or unfolded; become manifest', 'grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment', 'become technologically advanced', 'cause to grow and differentiate in ways conforming to its natural development', 'generate gradually', 'grow emotionally or mature', 'make visible by means of chemical solutions', 'superimpose a three-dimensional surface on a plane without stretching, in geometry', ""move one's pieces into strategically more advantageous positions"", 'move into a strategically more advantageous position', 'elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme', 'happen', 'expand in the form of a series']"
1,DEVELOPING,['processing a photosensitive material in order to make an image visible']
1,DEVELOPING,['relating to societies in which capital needed to industrialize is in short supply']
1,DEVELOPING,"['make something new, such as a product or a mental or artistic creation', 'work out', 'gain through experience', 'come to have or undergo a change of (physical features and attributes', 'come into existence; take on form or shape', 'change the use of and make available or usable', 'elaborate, as of theories and hypotheses', 'create by training and teaching', 'be gradually disclosed or unfolded; become manifest', 'grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment', 'become technologically advanced', 'cause to grow and differentiate in ways conforming to its natural development', 'generate gradually', 'grow emotionally or mature', 'make visible by means of chemical solutions', 'superimpose a three-dimensional surface on a plane without stretching, in geometry', ""move one's pieces into strategically more advantageous positions"", 'move into a strategically more advantageous position', 'elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme', 'happen', 'expand in the form of a series']"
1,DEVELOPMENT,"['act of improving by expanding or enlarging or refining', 'a process in which something passes by degrees to a different stage (especially a more advanced or mature stage', '(biology', 'a recent event that has some relevance for the present situation', 'the act of making some area of land or water more profitable or productive or useful', 'a district that has been developed to serve some purpose', 'a state in which things are improving; the result of developing (as in the early part of a game of chess', 'processing a photosensitive material in order to make an image visible', '(music', 'especially in sonata form']"
1,DEVELOPMENTS,"['act of improving by expanding or enlarging or refining', 'a process in which something passes by degrees to a different stage (especially a more advanced or mature stage', '(biology', 'a recent event that has some relevance for the present situation', 'the act of making some area of land or water more profitable or productive or useful', 'a district that has been developed to serve some purpose', 'a state in which things are improving; the result of developing (as in the early part of a game of chess', 'processing a photosensitive material in order to make an image visible', '(music', 'especially in sonata form']"
1,DEVOTED,"['zealous in devotion or affection', ""(followed by `to'""]"
1,DEVOTED,"['give entirely to a specific person, activity, or cause', 'dedicate', 'set aside or apart for a specific purpose or use']"
1,DEVOUT,"['deeply religious', 'sincerely earnest']"
1,DIFFERENTIATE,"['mark as different', 'be a distinctive feature, attribute, or trait; sometimes in a very positive sense', 'calculate a derivative; take the derivative', 'become different during development', 'evolve so as to lead to a new species or develop in a way most suited to the environment', 'become distinct and acquire a different character']"
1,DIFFICULTIES,"['an effort that is inconvenient', 'a factor causing trouble in achieving a positive result or tending to produce a negative result', ""a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome"", 'the quality of being difficult']"
1,DIRECTLY,"['without deviation', 'without anyone or anything intervening', 'without delay or hesitation; with no time intervening', 'in a forthright manner; candidly or frankly']"
1,DISCONTENTED,['showing or experiencing dissatisfaction or restless longing']
1,DISCONTENTED,['make dissatisfied']
1,DISCUSS,"['to consider or examine in speech or writing', 'speak with others about (something', 'something']"
1,DISSEMINATING,['cause to become widely known']
1,DISTINCTIONS,"['a discrimination between things as different and distinct on the basis of their characteristics or attributes', 'high status importance owing to marked superiority', 'a distinguishing difference between similar things or people', 'an honor awarded to someone in recognition of achievement or superiority']"
1,DISTINGUISHING,"['mark as different', 'detect with the senses', 'be a distinctive feature, attribute, or trait; sometimes in a very positive sense', 'make conspicuous or noteworthy', 'identify as in botany or biology, for example']"
1,DOING,"['engage in', 'carry out or perform an action', 'get (something', 'proceed or get along', 'give rise to; cause to happen or occur, not always intentionally', 'carry out or practice; as of jobs and professions', 'be sufficient; be adequate, either in quality or quantity', 'create or design, often in a certain way', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'spend time in prison or in a labor camp', 'carry on or function', 'arrange attractively', 'travel or traverse (a distance']"
1,DOUBT,"['the state of being unsure of something', 'uncertainty about the truth or factuality or existence of something']"
1,DOUBT,"['consider unlikely or have doubts about', 'lack confidence in or have doubts about']"
1,DRIVES,"['the act of applying force to propel something', 'a mechanism by which force or power is transmitted in a machine', 'a series of actions advancing a principle or tending toward a particular end', 'a road leading up to a private house', 'the trait of being highly motivated', 'hitting a golf ball off of a tee with a driver', 'the act of driving a herd of animals overland', 'a journey in a vehicle (usually an automobile', 'a physiological state corresponding to a strong need or desire', '(computer science', 'a wide scenic road planted with trees', '(sports', 'as in tennis or squash']"
1,DRIVES,"['operate or control a vehicle', 'travel or be transported in a vehicle', 'cause someone or something to move by driving', 'force into or from an action or state, either physically or metaphorically', 'to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly', 'cause to move back by force or influence', 'compel somebody to do something, often against his own will or judgment', 'push, propel, or press with force', 'cause to move rapidly by striking or throwing with force', 'strive and make an effort to reach a goal', 'move into a desired direction of discourse', 'have certain properties when driven', 'work as a driver', 'move by being propelled by a force', 'urge forward', 'proceed along in a vehicle', 'strike with a driver, as in teeing off', 'hit very hard, as by swinging a bat horizontally', 'excavate horizontally', 'cause to function by supplying the force or power for or by controlling', '(hunting', '(hunting']"
1,EARLIER,"[""(comparative and superlative of `early'"", 'at or near the beginning of a period of time or course of events or before the usual or expected time', 'being or occurring at an early stage of development', 'belonging to the distant past', 'very young', 'of an early stage in the development of a language or literature', 'expected in the near future']"
1,EARLIER,"['earlier in time; previously', ""comparatives of `soon' or `early'"", 'before now', 'during an early stage', 'before the usual time or the time expected', 'in good time']"
1,EARLY,"['at or near the beginning of a period of time or course of events or before the usual or expected time', 'being or occurring at an early stage of development', 'belonging to the distant past', 'very young', 'of an early stage in the development of a language or literature', 'expected in the near future']"
1,EARLY,"['during an early stage', 'before the usual time or the time expected', 'in good time']"
1,EASILY,"[""with ease (`easy' is sometimes used informally for `easily'"", 'without question', 'indicating high probability; in all likelihood']"
1,ECONOMIC,"['of or relating to an economy, the system of production and management of material wealth', 'of or relating to the science of economics', 'using the minimum of time or resources necessary for effectiveness', 'concerned with worldly necessities of life (especially money', 'financially rewarding']"
1,ECONOMICALLY,"['with respect to economic science', 'in an economical manner', 'with respect to the economic system']"
1,ECONOMIES,"['the system of production and distribution and consumption', 'the efficient use of resources', 'frugality in the expenditure of money or resources', 'an act of economizing; reduction in cost']"
1,ECONOMY,"['the system of production and distribution and consumption', 'the efficient use of resources', 'frugality in the expenditure of money or resources', 'an act of economizing; reduction in cost']"
1,EDITING,['putting something (as a literary work or a legislative bill']
1,EDITING,"['prepare for publication or presentation by correcting, revising, or adapting', 'supervise the publication of', 'cut and assemble the components of', 'cut or eliminate']"
1,EDUCATED,"['possessing an education (especially having more than average knowledge', 'characterized by full comprehension of the problem involved']"
1,EDUCATED,"['give an education to', 'create by training and teaching', 'teach or refine to be discriminative in taste or judgment']"
1,EDUCATING,"['give an education to', 'create by training and teaching', 'teach or refine to be discriminative in taste or judgment']"
1,EFFECTS,"['a phenomenon that follows and is caused by some previous phenomenon', 'an outward appearance', 'an impression (especially one that is artificial or contrived', 'the central meaning or theme of a speech or literary work', '(of a law', 'a symptom caused by an illness or a drug', 'property of a personal character that is portable but not used in business']"
1,EFFECTS,"['produce', 'act so as to bring into existence']"
1,ELEMENT,"['an abstract part of something', 'an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system', 'any of the more than 100 known substances (of which 92 occur naturally', 'the most favorable environment for a plant or animal', 'one of four substances thought in ancient and medieval cosmology to constitute the physical universe', 'the situation in which you are happiest and most effective', 'a straight line that generates a cylinder or cone']"
1,EMOTIONAL,"['determined or actuated by emotion rather than reason', 'of more than usual emotion', 'of or pertaining to emotion', '(of persons']"
1,EMOTIONS,['any strong feeling']
1,EMPHASIS,"['special importance or significance', 'intensity or forcefulness of expression', 'special and significant stress by means of position or repetition e.g.', 'the relative prominence of a syllable or musical note (especially with regard to stress or pitch']"
1,EMPLOYED,"['having your services engaged for; or having a job especially one that pays wages or a salary', 'put to use']"
1,EMPLOYED,"['put into service; make work or employ for a particular purpose or for its inherent or natural purpose', 'engage or hire for work']"
1,EMULATE,"['strive to equal or match, especially by imitating', 'imitate the function of (another system', 'compete with successfully; approach or reach equality with']"
1,ENABLES,['render capable or able for some task']
1,ENABLING,['providing legal power or sanction']
1,ENABLING,['render capable or able for some task']
1,ENCAPSULATES,"['enclose in a capsule or other small container', 'put in a short or concise form; reduce in volume']"
1,ENCOMPASSES,"[""include in scope; include as part of something broader; have as one's sphere or territory""]"
1,ENGAGE,"['carry out or participate in an activity; be involved in', ""consume all of one's attention or time"", 'engage or hire for work', 'ask to represent; of legal counsel', 'give to in marriage', 'get caught', 'carry on (wars, battles, or campaigns', 'hire for work or assistance', 'engage for service under a term of contract', 'keep engaged']"
1,ENHANCEMENT,['an improvement that makes something more agreeable']
1,ENOUGH,['an adequate quantity; a quantity that is large enough to achieve a purpose']
1,ENOUGH,['sufficient for the purpose']
1,ENOUGH,"['as much as necessary', ""`plenty' is nonstandard""]"
1,ENSURE,"['make certain of', 'be careful or certain to do something; make certain of something']"
1,ENSURES,"['make certain of', 'be careful or certain to do something; make certain of something']"
1,ENSURING,"['make certain of', 'be careful or certain to do something; make certain of something']"
1,ENTERING,"['a movement into or inward', 'the act of entering']"
1,ENTERING,"['to come or go into', 'become a participant; be involved in', 'register formally as a participant or member', 'be or play a part of or in', 'make a record of; set down in permanent form', 'come on stage', 'take on duties or office', 'put or introduce into something', 'set out on (an enterprise or subject of study']"
1,ENTICEMENT,"['something that seduces or has the quality to seduce', 'qualities that attract by seeming to promise some kind of reward', 'the act of influencing by exciting hope or desire']"
1,ENTIRE,['uncastrated adult male horse']
1,ENTIRE,"['constituting the full quantity or extent; complete', 'constituting the undiminished entirety; lacking nothing essential especially not damaged', '(of leaves or petals', '(used of domestic animals']"
1,ENTITLEMENT,['right granted by law or contract (especially a right to benefits']
1,ENTITY,['that which is perceived or known or inferred to have its own distinct existence (living or nonliving']
1,ENVIRONMENT,"['the totality of surrounding conditions', 'the area in which something exists or lives']"
1,ESPECIALLY,"['to a distinctly greater extent or degree than is common', 'or specially', 'in a special manner']"
1,ESSENCE,"['the choicest or most essential or most vital part of some idea or experience', 'any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted', 'the central meaning or theme of a speech or literary work', 'a toiletry that emits and diffuses a fragrant odor']"
1,ESSENTIAL,['anything indispensable']
1,ESSENTIAL,"['absolutely necessary; vitally necessary', 'basic and fundamental', 'of the greatest importance', 'being or relating to or containing the essence of a plant etc', 'defining rights and duties as opposed to giving the rules by which rights and duties are established']"
1,ESSENTIALS,['anything indispensable']
1,ESTABLISH,"['set up or found', 'set up or lay the groundwork for', 'establish the validity of something, as by an example, explanation or experiment', 'institute, enact, or establish', 'bring about', 'build or establish something abstract', 'use as a basis for; found on']"
1,EVENT,"['something that happens at a given place and time', 'a special set of circumstances', 'a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory', 'a phenomenon that follows and is caused by some previous phenomenon']"
1,EVENTS,"['something that happens at a given place and time', 'a special set of circumstances', 'a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory', 'a phenomenon that follows and is caused by some previous phenomenon']"
1,EVIDENT,"['clearly revealed to the mind or the senses or judgment', 'capable of being seen or noticed']"
1,EVOKE,"['call forth (emotions, feelings, and responses', 'evoke or provoke to appear or occur', 'deduce (a principle', 'a meaning', 'summon into action or bring into existence, often as if by magic', 'call to mind']"
1,EVOLVED,"['work out', 'undergo development or evolution', 'gain through experience']"
1,EXAMPLE,"['an item of information that is typical of a class or group', 'a representative form or pattern', 'something to be imitated', 'punishment intended as a warning to others', 'an occurrence of something', 'a task performed or problem solved in order to develop skill or understanding']"
1,EXCLUSIVE,['a news report that is reported first by one news organization']
1,EXCLUSIVE,"['not divided or shared with others', 'excluding much or all; especially all but a particular group or minority', 'not divided among or brought to bear on more than one object or objective']"
1,EXECUTE,"['kill as a means of socially sanctioned punishment', 'murder in a planned fashion', 'put in effect', 'carry out the legalities of', 'carry out a process or program, as on a computer or a machine', 'carry out or perform an action', 'sign in the presence of witnesses']"
1,EXHIBIT,"['an object or statement produced before a court of law and referred to while giving evidence', 'something shown to the public']"
1,EXHIBIT,"['show an attribute, property, knowledge, or skill', 'to show, make visible or apparent', 'give an exhibition of to an interested audience', 'walk ostentatiously']"
1,EXPECTED,['considered likely or probable to happen or arrive']
1,EXPECTED,"['regard something as probable or likely', 'consider obligatory; request and expect', 'look forward to the probable occurrence of', 'consider reasonable or due', 'look forward to the birth of a child', 'be pregnant with']"
1,EXPENSIVE,['high in price or charging high prices']
1,EXPERIENCE,"['the accumulation of knowledge or skill that results from direct participation in events or activities', 'the content of direct observation or participation in an event', 'an event as apprehended']"
1,EXPERIENCE,"['undergo or live through a difficult experience', 'have firsthand knowledge of states, situations, emotions, or sensations', 'go through (mental or physical states or experiences', 'undergo an emotional sensation or be in a particular state of mind', 'undergo']"
1,EXPOSED,"['with no protection or shield', 'not covered with clothing']"
1,EXPOSED,"['expose or make accessible to some action or influence', 'make known to the public information that was previously known only to a few people or that was meant to be kept a secret', 'to show, make visible or apparent', ""remove all or part of one's clothes to show one's body"", 'reveal to view as by removing a cover', 'put in a dangerous, disadvantageous, or difficult position', 'expose to light, of photographic film', 'expose while ridiculing; especially of pretentious or false claims and ideas', 'abandon by leaving out in the open air']"
1,EXPRESSING,"['give expression to', 'articulate; either verbally or with a cry, shout, or noise', 'serve as a means for expressing something', 'indicate through a symbol, formula, etc.', 'manifest the effects of (a gene or genetic trait', 'obtain from a substance, as by mechanical action', 'send by rapid transport or special messenger service']"
1,EXTENDED,"['relatively long in duration; tediously protracted', 'fully extended or stretched forth', 'drawn out or made longer spatially', 'beyond the literal or primary sense', 'large in spatial extent or range or scope or quantity']"
1,EXTENDED,"['extend in scope or range or area', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'span an interval of distance, space or time', 'make available; provide', 'thrust or extend out', 'reach outward in space', 'offer verbally', ""extend one's limbs or muscles, or the entire body"", 'expand the influence of', 'lengthen in time; cause to be or last longer', 'extend or stretch out to a greater or the full length', 'cause to move at full gallop', 'open or straighten out; unbend', 'use to the utmost; exert vigorously or to full capacity', 'prolong the time allowed for payment of', 'continue or extend', 'increase in quantity or bulk by adding a cheaper substance']"
1,EXTERNAL,['outward features']
1,EXTERNAL,"['happening or arising or located outside or beyond some limits or especially surface', 'coming from the outside', 'from or between other countries', 'purely outward or superficial']"
1,FACILITATED,"['make easier', 'be of use', 'increase the likelihood of (a response']"
1,FACTS,"['a piece of information about circumstances that exist or events that have occurred', 'a statement or assertion of verified information about something that is the case or has happened', 'an event known to have happened or something known to have existed', 'a concept whose truth can be proved']"
1,FAITH,"['a strong belief in a supernatural power or powers that control human destiny', 'complete confidence in a person or plan etc', 'an institution to express belief in a divine power', 'loyalty or allegiance to a cause or a person']"
1,FAMILIES,"['a social unit living together', 'primary social group; parents and children', 'a collection of things sharing a common attribute', 'people descended from a common ancestor', 'a person having kinship with another or others', '(biology', 'a loose affiliation of gangsters in charge of organized criminal activities', 'an association of people who share common beliefs or activities']"
1,FAMILY,"['a social unit living together', 'primary social group; parents and children', 'a collection of things sharing a common attribute', 'people descended from a common ancestor', 'a person having kinship with another or others', '(biology', 'a loose affiliation of gangsters in charge of organized criminal activities', 'an association of people who share common beliefs or activities']"
1,FASHIONS,"['how something is done or how it happens', 'characteristic or habitual practice', 'the latest and most admired style in clothes and cosmetics and behavior', 'consumer goods (especially clothing']"
1,FASHIONS,['make out of components (often in an improvising manner']
1,FEWER,"[""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"", ""(comparative of `few' used with count nouns""]"
1,FEWEST,"[""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"", ""(superlative of `few' used with count nouns and usually preceded by `the'""]"
1,FIGHT,"['a hostile meeting of opposing military forces in the course of a war', 'the act of fighting; any contest or struggle', 'an aggressive willingness to compete', 'an intense verbal dispute', 'a boxing or wrestling match']"
1,FIGHT,"['be engaged in a fight; carry on a fight', 'fight against or resist strongly', 'make a strenuous or labored effort', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for']"
1,FIGURATIVE,"['(used of the meanings of words or text', 'consisting of or forming human or animal figures']"
1,FIGURATIVELY,['in a figurative sense']
1,FINALLY,"['after an unspecified period of time or an especially long delay', 'as the end result of a succession or process', 'the item at the end']"
1,FINANCIAL,['involving financial matters']
1,FINANCIALLY,['from a financial point of view']
1,FIRST,"['the first or highest in an ordering or series', 'the first element in a countable series', 'the time at which something is supposed to begin', 'the fielding position of the player on a baseball team who is stationed at first of the bases in the infield (counting counterclockwise from home plate', 'an honours degree of the highest class', 'the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving']"
1,FIRST,"['preceding all others in time or space or degree', 'indicating the beginning unit in a series', 'serving to set in motion', 'or maiden', 'serving to begin', 'ranking above all others', 'highest in pitch or chief among parts or voices or instruments or orchestra sections']"
1,FIRST,"['before anything else', 'the initial time', 'before another in time, space, or importance', 'prominently forward']"
1,FLAVOURS,"['the general atmosphere of a place or situation and the effect that it has on people', '(physics', 'the taste experience when a savoury condiment is taken into the mouth']"
1,FLAVOURS,['lend flavor to']
